Risk ID,Strategic Priority,Pillar,Risk Domain,Risk Description,Business Impact,Likelihood,Impact,Control Effectiveness %,Current Maturity,Target Maturity,Key Risk Indicator,Current KRI Value,KRI Threshold,Owner,Remediation Plan,Target Date,Status,Inherent Risk Score,Control Effectiveness Decimal,Residual Risk Score,Residual Risk Level,Risk Appetite Status,Maturity Gap,Current Maturity Label,Target Maturity Label,KRI Severity,KRI Status,Risk Treatment Decision,Remediation Priority,Days Until Target,Timeline Status
PSR-001,Strengthen security posture and response,Cybersecurity,Security Operations,Incident response and vulnerability management may remain too manual without automation,Delayed detection response and vulnerability remediation,4,5,55,2,4,Critical vulnerabilities overdue,14,10,Security Operations Lead,Expand automated alerting scanning and vulnerability workflows,2026-08-15,In Progress,20,0.55,9.0,Medium,Within Appetite,2,Developing,Scaling,Elevated,Threshold Breached,Monitor and Improve Maturity,Priority 4 - Monitor,-35,Overdue
PSR-002,Mature disaster recovery,Cybersecurity,Disaster Recovery,Critical applications may not have fully tested recovery plans,Service disruption and extended downtime during cyber or infrastructure events,4,5,45,2,4,Critical apps without DR test,12,5,DR Program Manager,Complete DR testing for priority applications and validate backup recovery,2026-09-01,Open,20,0.45,11.0,High,Above Appetite,2,Developing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,-18,Overdue
PSR-003,Roll out AI Assistant,Innovation and Emerging Technology,AI Governance,AI tools may be adopted before standards usage guidance and risk controls are mature,Privacy security and compliance risks from unmanaged AI usage,4,4,40,1,4,AI tools without standards review,6,0,AI Governance Lead,Create AI use standards risk review checklist and user guidance,2026-08-01,Open,16,0.4,9.6,Medium,Within Appetite,3,Ad Hoc,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,-49,Overdue
PSR-004,Define data strategy,Data and Analytics,Data Governance,Data assets may lack ownership quality metadata or readiness for analytics and AI,Reduced data trust poor decision making and AI readiness gaps,3,5,50,2,4,Data assets without assigned owner,25,20,Data Strategy Lead,Define data ownership metadata and stewardship requirements,2026-09-15,In Progress,15,0.5,7.5,Medium,Within Appetite,2,Developing,Scaling,Warning,Threshold Breached,Monitor and Improve Maturity,Priority 4 - Monitor,-4,Overdue
PSR-005,Deliver enterprise data tools,Data and Analytics,Data Technology,Data tools may remain fragmented across agencies without standard onboarding and integration patterns,Duplicated tools inconsistent data sharing and higher operational cost,3,4,45,2,4,Unstandardized data tools,8,3,ODIA Product Lead,Create enterprise data tools inventory and onboarding model,2026-10-01,Planned,12,0.45,6.6,Medium,Within Appetite,2,Developing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,12,Due Soon
PSR-006,Mature centralized technology,IT Services,Service Portfolio Management,Centralized technology offerings may lack consistent service definitions ownership and maturity tracking,Confusion across agencies duplicated solutions and inconsistent service quality,3,4,50,2,4,Services without defined owner,10,4,Service Portfolio Manager,Build service catalog ownership model and maturity scoring process,2026-08-30,Open,12,0.5,6.0,Medium,Within Appetite,2,Developing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,-20,Overdue
PSR-007,Rationalize data centers,IT Services,Infrastructure Modernization,Legacy on-premises footprint may remain larger than necessary due to unclear risk and dependency mapping,Higher cost resilience gaps and slower modernization,3,5,40,2,4,Legacy systems pending rationalization,18,10,Infrastructure Lead,Map data center dependencies and prioritize rationalization candidates,2026-10-15,Planned,15,0.4,9.0,Medium,Within Appetite,2,Developing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,26,On Track
PSR-008,Consolidate IT staffing and infrastructure,IT Services,IT Consolidation,Network voice and infrastructure consolidation may face inconsistent adoption across sites,Operational inefficiency duplicated support and inconsistent standards,3,4,45,2,4,Sites not onboarded to standard model,11,5,IT Consolidation Lead,Create site consolidation tracker and standard operating model,2026-09-30,In Progress,12,0.45,6.6,Medium,Within Appetite,2,Developing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,11,Due Soon
PSR-009,Provide AI trainings and guidance,Innovation and Emerging Technology,Workforce Enablement,Staff may use AI tools without sufficient training guidance or understanding of acceptable use,Data leakage inconsistent adoption and reduced trust in AI services,4,4,35,1,4,Staff groups without AI training,9,2,AI Training Lead,Develop role-based AI training and guidance materials,2026-08-20,Open,16,0.35,10.4,High,Above Appetite,3,Ad Hoc,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,-30,Overdue
PSR-010,Improve constituent experience,Constituent Experience,Digital Service Risk,Digital services may not be consistently accessible secure and streamlined across agencies,Lower public trust accessibility gaps and inconsistent service delivery,3,5,55,3,4,High-impact services with accessibility gaps,7,3,Digital Experience Lead,Track accessibility remediation and service experience improvements,2026-09-10,In Progress,15,0.55,6.7,Medium,Within Appetite,1,Maturing,Scaling,Critical,Threshold Breached,Executive Review Required,Priority 1 - Immediate,-9,Overdue
